2016-05-27 6:34:28 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 6:34:41 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 6:34:46 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 6:36:34 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 6:36:34 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 6:36:34 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 6:36:34 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 6:36:35 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 6:36:35 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 6:36:35 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 6:36:35 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 6:36:40 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 6:36:40 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 6:36:40 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 6:36:40 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 7:52:01 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 7:52:35 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 7:53:21 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 7:56:16 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 7:56:42 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:26:29 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:31:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:31:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:31:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:31:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:31:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:31:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:42:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:42:57 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:43:11 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:43:11 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:43:26 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:43:26 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:43:46 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:44:00 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:44:06 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:44:10 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:44:15 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:44:26 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:44:33 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
